,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.030463790893554686,0.002534578243666348,0.004698562622070313,0.0016025887982537858,2,3,,"{'max_features': 2, 'n_estimators': 3}",-5448882.06234446,-2538242.771017299,-3349607.5191198215,-4419597.895888231,-6112280.661782247,-4373722.182030411,1311369.8523236997,13,-1011619.6972249663,-1203817.032705525,-1699388.244439721,-1112974.0858459335,-1104957.8726175707,-1226551.3865667433,244119.62721810007
1,0.07907495498657227,0.005957387974415876,0.0063683509826660155,0.0015148776362451293,2,10,,"{'max_features': 2, 'n_estimators': 10}",-4634989.985177018,-2814651.822437983,-2597989.4766601874,-3026755.1122558466,-5211182.967431805,-3657113.872792568,1058320.499833653,9,-603839.7049104994,-713645.4500373428,-797513.6775048227,-557388.5230319834,-579271.274870073,-650331.7260709443,91127.04232879945
2,0.2343595504760742,0.030366458127035457,0.012527179718017579,0.0016396187958759472,2,30,,"{'max_features': 2, 'n_estimators': 30}",-4168930.041830295,-2299258.4447878143,-2542186.098244161,-2841752.3657265888,-4725612.324890446,-3315547.8550958605,956238.2238568402,2,-610974.2994184812,-565223.1625585699,-510527.9513752811,-518382.59970630123,-521093.4965250629,-545240.3019167392,38025.320000628446
3,0.02486557960510254,0.0007123880979697976,0.0031661033630371095,4.969906051554597e-05,4,3,,"{'max_features': 4, 'n_estimators': 3}",-5692668.9691785,-4038974.9833167116,-3521197.66186091,-4714280.147846978,-7391126.148688501,-5071649.58217832,1368478.5360804289,18,-1419777.5266764422,-1254465.1353763419,-1515948.1134309126,-1164082.3859422614,-1299713.634097367,-1330797.359104665,123923.33167314465
4,0.07265076637268067,0.0013044316947423906,0.0052468299865722655,0.00010297412975457633,4,10,,"{'max_features': 4, 'n_estimators': 10}",-4433667.26077452,-2644754.37953318,-3134933.9095509145,-3276219.179713988,-4438423.675642169,-3585599.6810429543,725332.089339223,7,-618919.8479460458,-618151.2195493765,-755456.1880051083,-774886.6519423169,-573565.3034615201,-668195.8421808735,81098.48773114367
5,0.2107771396636963,0.0014397497894205206,0.010835361480712891,9.459978138054555e-05,4,30,,"{'max_features': 4, 'n_estimators': 30}",-4115495.6614960344,-2626344.3263489963,-2706612.207920181,-2893675.9186575976,-4731789.078332996,-3414783.4385511605,850905.0766606885,3,-498930.78360678395,-583633.6432082426,-545797.9255895593,-591455.3562491488,-540389.4365495733,-552041.4290406615,33307.70654598004
6,0.026697874069213867,0.0015459686633738266,0.003225851058959961,5.099870935856629e-05,6,3,,"{'max_features': 6, 'n_estimators': 3}",-6440920.887190136,-3473852.295562631,-3691700.32550998,-4427111.4464161545,-4445612.459930029,-4495839.482921786,1047061.1788888285,14,-1211538.3736365223,-1312635.4646139878,-1418959.031134827,-1280561.736432756,-1384855.2858489484,-1321709.9783334085,73970.28487744347
7,0.07569856643676758,0.0016525486071683753,0.0052242279052734375,0.00012880103384597396,6,10,,"{'max_features': 6, 'n_estimators': 10}",-4150864.321319433,-3068345.2398081794,-2817768.69850953,-3366179.6161991823,-4373098.978037339,-3555251.3707747324,606685.4038468789,5,-706039.4072891516,-652832.4221623098,-752193.7254837595,-542053.1087564058,-681449.2102062694,-666913.5747795792,70431.85984411792
8,0.22491674423217772,0.009280142147618116,0.010888051986694337,0.00024436331442479186,6,30,,"{'max_features': 6, 'n_estimators': 30}",-4129428.4605096565,-2472536.988023398,-2819648.8253021576,-2908741.875673983,-4816145.752583499,-3429300.380418539,891243.151936957,4,-542000.1783627144,-497285.3050213295,-515613.0022478923,-507133.2071985408,-452206.74701672414,-502847.68796944025,29358.751445945305
9,0.02661242485046387,0.00027169751130083706,0.0033025741577148438,0.00036436952248937335,8,3,,"{'max_features': 8, 'n_estimators': 3}",-4471509.963272504,-2962583.375683923,-3237485.3953188662,-3603456.0934495926,-5666739.503829022,-3988354.8663107813,981282.1223254709,12,-1007139.780279592,-1166528.7326841708,-1316234.7351419732,-1227855.5802880963,-1106230.3365163945,-1164797.8329820454,105070.0947644683
10,0.0810929775238037,0.0015182688426699255,0.005182933807373047,0.00014640092024652875,8,10,,"{'max_features': 8, 'n_estimators': 10}",-4598291.175216826,-2935631.468216759,-2854616.299052337,-3565730.8445067653,-4866504.924831841,-3764154.942364906,832351.1941849359,10,-687679.5158268844,-714978.9239887118,-613642.8623974299,-723317.7094964326,-786393.3076941689,-705202.4638807254,56046.24652441396
11,0.23241944313049318,0.0032003382028254397,0.010660314559936523,9.571959324356462e-05,8,30,,"{'max_features': 8, 'n_estimators': 30}",-3952436.826054478,-2511561.1124347504,-2597046.7108779247,-2757163.4590943623,-4592026.791186402,-3282046.9799295836,837119.6094635816,1,-429713.60133699205,-614901.0956390505,-527940.3796298878,-616217.5980513323,-447745.142633729,-527303.5634581984,79287.80707970528
12,0.029931116104125976,0.000696273520117594,0.003410005569458008,0.00026003275542135095,2,3,False,"{'bootstrap': False, 'max_features': 2, 'n_estimators': 3}",-6163523.197674968,-3765804.7483896944,-3592317.7050120775,-4005204.418121432,-5756998.980184024,-4656769.809876439,1080020.7852547253,16,-4331.796495346344,-2441.1007330532907,-1310.1037943057959,-3143.9453916481343,-1522.652242534036,-2549.9197313775203,1107.4488622848526
13,0.09361681938171387,0.004724273677058762,0.0057164192199707035,7.904294716323308e-05,2,10,False,"{'bootstrap': False, 'max_features': 2, 'n_estimators': 10}",-4469934.52674311,-2635740.0614778213,-3004550.0442064665,-3329003.274285244,-4824123.205525057,-3652670.2224475397,848432.6780249297,8,-1559.7039988468825,-4059.2062227164156,-2848.779631002389,-1566.0749526398156,-2251.737936429513,-2457.1005483270033,933.9781664760777
14,0.031078433990478514,0.0014637159001614423,0.0032968521118164062,6.516516688139788e-05,3,3,False,"{'bootstrap': False, 'max_features': 3, 'n_estimators': 3}",-5611690.583972271,-3471871.477797297,-3692043.2778906208,-4402584.402448397,-5875366.142189007,-4610711.1768595185,978318.483703458,15,-1290.1401243719627,-2522.642615929495,-1278.1185102819647,-4896.958597589436,-1570.412453337725,-2311.6544603021166,1370.3606310364767
15,0.09895825386047363,0.010808538012437457,0.005694961547851563,0.00021456615633917237,3,10,False,"{'bootstrap': False, 'max_features': 3, 'n_estimators': 10}",-4429928.37545235,-2625734.3371453667,-3191085.8131107264,-3553812.3487826637,-5119122.373942191,-3783936.6496866597,888356.70010248,11,-1179.2565480602916,-2481.3651264311015,-1762.322172802899,-1596.8909892101146,-1581.499547101449,-1720.2668767211712,426.19463880877805
16,0.03591189384460449,0.0012716563077314067,0.0035283565521240234,0.00034459857187310334,4,3,False,"{'bootstrap': False, 'max_features': 4, 'n_estimators': 3}",-6849882.596377422,-3190355.9169960474,-3911440.8673632457,-4051657.53390487,-5712538.142460709,-4743175.011420459,1338589.3303358215,17,-1193.1547030722345,-2421.744831562474,-1395.3521264036463,-1587.4769513768772,-3269.625599290002,-1973.4708423410466,771.1125124333088
17,0.09594502449035644,0.0015099345127051237,0.005726957321166992,0.0003770693237268809,4,10,False,"{'bootstrap': False, 'max_features': 4, 'n_estimators': 10}",-4465199.695845547,-2729849.954694774,-2941231.694703832,-2997324.8202396245,-4645615.111463074,-3555844.25538937,822980.7992665735,6,-1339.2011572358126,-2597.2750597150157,-1492.7150564203937,-1778.6665843011285,-2060.6260704874835,-1853.6967856319668,446.4014942166342
